"Write A Review","Schrijf een review"
"Pros:","Voordelen"
"Cons:","Nadelen"
"What do you like about this item?","Wat vind je goed aan dit product?"
"Share your opinion with others by writing a detailed review","Deel je mening met anderen door een uitgebreide review te schrijven."
"What do you dislike about this item?","Wat vind je minder goed aan dit product?"
"Tell us what you think about this item","Schrijf hier jouw ervaring:"
"Your Review","Jouw profielnaam:"
"Image must be in PNG, GIF or JPEG format","Plaatje moet PNG, GIF of JPEG formaat zijn;"
"when writing your review, try to avoid","Beschrijf je ervaring met dit product."
"non-product related comments",""
"price and promotion details",""
"inappropriate language",""
"info about other companies or websites",""
"any personal info - we want to protect your privacy!",""
"Overall Review","Vat je mening samen in een paar zinnen."
"Nickname","Je naam"
"Review Title","Onderwerp"
"Tell us what you think about this item!","Vertel ons wat je van onze producten vindt!"
"Enter your Pros, separated by comma","Geef voorbeelden gescheiden door komma's"
"Enter your Cons, separated by comma","Geef voorbeelden gescheiden door komma's"
"Add More Files","Voeg meer bestanden toe?"
"File size must be %d MB or less","De afbeelding mag niet groter dan %d MB zijn;"
"Image must be at least %d pixels tall","De hoogte moet minstens %d pixels zijn;"
"Image must be at least %d pixels wide","De afbeelding moet ten minste %d pixels breed zijn."
"Post your youtube video link to show how you style this item","Kopier de URL van een YouTube video"
"Attach Your Video","Plak hier de URL van de YouTube video."
"when writing your review, try to avoid","Beschrijf je ervaring met dit product."
"Upload Your Image","Upload jouw plaatje"
"Pictures speak a thousand words!","Foto's zeggen meer dan duizend woorden."
"search in reviews","Zoek reviews"
"Date - Newest First","Datum - Recent"
"Date - Latest First","Datum - Aflopend"
"Most Helpful","Meest behulpzame review"
"Ownership","Eigenaar"
"Last Week","Afgelopen week"
"Last 4 Weeks","Laatste 4 weken"
"Last 6 Months","Laatste 6 maanden"
"Pros","Voordelen"
"Cons","Nadelen"
"Would you recommend this product to a friend?","Zou je dit product aanraden aan een vriend?"
"Recent Reviews","Recente beoordelingen"
"Recent Reviews","Recente beoordelingen"
"Reviews with Images","Beoordeling met plaatjes"
"You have placed no orders.","Je hebt nog geen bestellingen geplaatst."
"This Contributor has not submitted any reviews.","Je hebt nog geen reviews ingevuld. "
"Recent Reviews by Category","Recente reviews in categorie"
"Add Your Review","Je review toevoegen"
"Sorry, no reviews matched your criteria.","Sorry, er zijn geen reviews die voldoen aan jouw criteria."
"Review Title","Onderwerp (verplicht)"
"Share your opinion with others by writing a detailed review","Deel je mening met anderen door een uitgebreide review te schrijven."